player_id,game_id,team,position,offense_snaps,defense_snaps,st_snaps,offense_pct,defense_pct,st_pct
,2025_01_BAL_BUF,BUF,WR,53.0,0.0,0.0,0.62,0.0,0.0
,2025_01_BAL_BUF,BUF,RB,48.0,0.0,0.0,0.56,0.0,0.0
,2025_01_BAL_BUF,BUF,TE,48.0,0.0,0.0,0.56,0.0,0.0
,2025_01_BAL_BUF,BUF,TE,43.0,0.0,0.0,0.51,0.0,0.0
,2025_01_BAL_BUF,BUF,RB,28.0,0.0,15.0,0.33,0.0,0.43
,2025_01_BAL_BUF,BUF,WR,17.0,0.0,22.0,0.2,0.0,0.63
,2025_01_BAL_BUF,BUF,TE,16.0,0.0,8.0,0.19,0.0,0.23
,2025_01_BAL_BUF,BUF,FB,12.0,0.0,25.0,0.14,0.0,0.71
,2025_01_BAL_BUF,BUF,WR,12.0,0.0,0.0,0.14,0.0,0.0
,2025_01_BAL_BUF,BUF,RB,10.0,0.0,7.0,0.12,0.0,0.2
,2025_01_BAL_BUF,BUF,T,3.0,0.0,6.0,0.04,0.0,0.17
,2025_01_BAL_BUF,BUF,CB,0.0,51.0,10.0,0.0,1.0,0.29
,2025_01_BAL_BUF,BUF,CB,0.0,51.0,7.0,0.0,1.0,0.2
,2025_01_BAL_BUF,BUF,LB,0.0,51.0,7.0,0.0,1.0,0.2
,2025_01_BAL_BUF,BUF,S,0.0,51.0,7.0,0.0,1.0,0.2
,2025_01_BAL_BUF,BUF,S,0.0,51.0,1.0,0.0,1.0,0.03
,2025_01_BAL_BUF,BUF,LB,0.0,45.0,0.0,0.0,0.88,0.0
,2025_01_BAL_BUF,BUF,DE,0.0,35.0,7.0,0.0,0.69,0.2
,2025_01_BAL_BUF,BUF,DT,0.0,35.0,7.0,0.0,0.69,0.2
,2025_01_BAL_BUF,BUF,DE,0.0,35.0,0.0,0.0,0.69,0.0
,2025_01_BAL_BUF,BUF,DT,0.0,35.0,0.0,0.0,0.69,0.0
,2025_01_BAL_BUF,BUF,CB,0.0,34.0,1.0,0.0,0.67,0.03
,2025_01_BAL_BUF,BUF,LB,0.0,17.0,28.0,0.0,0.33,0.8
,2025_01_BAL_BUF,BUF,DE,0.0,16.0,22.0,0.0,0.31,0.63
,2025_01_BAL_BUF,BUF,DT,0.0,16.0,7.0,0.0,0.31,0.2
,2025_01_BAL_BUF,BUF,DE,0.0,16.0,7.0,0.0,0.31,0.2
,2025_01_BAL_BUF,BUF,DT,0.0,13.0,12.0,0.0,0.25,0.34
,2025_01_BAL_BUF,BUF,DB,0.0,9.0,23.0,0.0,0.18,0.66
,2025_01_BAL_BUF,BUF,LB,0.0,0.0,28.0,0.0,0.0,0.8
,2025_01_BAL_BUF,BUF,DB,0.0,0.0,22.0,0.0,0.0,0.63
,2025_01_BAL_BUF,BUF,LB,0.0,0.0,15.0,0.0,0.0,0.43
,2025_01_BAL_BUF,BUF,K,0.0,0.0,13.0,0.0,0.0,0.37
,2025_01_BAL_BUF,BUF,CB,0.0,0.0,11.0,0.0,0.0,0.31
,2025_01_BAL_BUF,BUF,P,0.0,0.0,10.0,0.0,0.0,0.29
,2025_01_BAL_BUF,BUF,LS,0.0,0.0,10.0,0.0,0.0,0.29
,2025_01_BAL_BUF,BUF,CB,0.0,0.0,10.0,0.0,0.0,0.29
,2025_01_BAL_BUF,BUF,S,0.0,0.0,7.0,0.0,0.0,0.2
,2025_01_BAL_BUF,BUF,T,0.0,0.0,6.0,0.0,0.0,0.17
,2025_01_BAL_BUF,BAL,OL,51.0,0.0,7.0,1.0,0.0,0.2
,2025_01_BAL_BUF,BAL,G,51.0,0.0,7.0,1.0,0.0,0.2
,2025_01_BAL_BUF,BAL,C,51.0,0.0,0.0,1.0,0.0,0.0
,2025_01_BAL_BUF,BAL,QB,51.0,0.0,0.0,1.0,0.0,0.0
,2025_01_BAL_BUF,BAL,T,51.0,0.0,0.0,1.0,0.0,0.0
,2025_01_BAL_BUF,BAL,T,51.0,0.0,0.0,1.0,0.0,0.0
,2025_01_BAL_BUF,BAL,WR,46.0,0.0,0.0,0.9,0.0,0.0
,2025_01_BAL_BUF,BAL,TE,38.0,0.0,0.0,0.75,0.0,0.0
,2025_01_BAL_BUF,BAL,WR,37.0,0.0,0.0,0.73,0.0,0.0
,2025_01_BAL_BUF,BAL,TE,31.0,0.0,14.0,0.61,0.0,0.4
,2025_01_BAL_BUF,BAL,RB,29.0,0.0,0.0,0.57,0.0,0.0
,2025_01_BAL_BUF,BAL,RB,23.0,0.0,7.0,0.45,0.0,0.2
,2025_01_BAL_BUF,BAL,WR,18.0,0.0,0.0,0.35,0.0,0.0
,2025_01_BAL_BUF,BAL,WR,16.0,0.0,11.0,0.31,0.0,0.31
,2025_01_BAL_BUF,BAL,TE,15.0,0.0,7.0,0.29,0.0,0.2
,2025_01_BAL_BUF,BAL,RB,1.0,0.0,21.0,0.02,0.0,0.6
,2025_01_BAL_BUF,BAL,G,1.0,0.0,7.0,0.02,0.0,0.2
,2025_01_BAL_BUF,BAL,LB,0.0,85.0,1.0,0.0,1.0,0.03
,2025_01_BAL_BUF,BAL,S,0.0,84.0,7.0,0.0,0.99,0.2
,2025_01_BAL_BUF,BAL,CB,0.0,84.0,1.0,0.0,0.99,0.03
,2025_01_BAL_BUF,BAL,CB,0.0,83.0,1.0,0.0,0.98,0.03
,2025_01_BAL_BUF,BAL,S,0.0,83.0,1.0,0.0,0.98,0.03
,2025_01_BAL_BUF,BAL,CB,0.0,67.0,0.0,0.0,0.79,0.0
,2025_01_BAL_BUF,BAL,DL,0.0,63.0,14.0,0.0,0.74,0.4
,2025_01_BAL_BUF,BAL,DL,0.0,59.0,0.0,0.0,0.69,0.0
,2025_01_BAL_BUF,BAL,LB,0.0,58.0,0.0,0.0,0.68,0.0
,2025_01_BAL_BUF,BAL,LB,0.0,48.0,14.0,0.0,0.56,0.4
,2025_01_BAL_BUF,BAL,LB,0.0,38.0,0.0,0.0,0.45,0.0
,2025_01_BAL_BUF,BAL,DL,0.0,34.0,14.0,0.0,0.4,0.4
,2025_01_BAL_BUF,BAL,CB,0.0,33.0,0.0,0.0,0.39,0.0
,2025_01_BAL_BUF,BAL,LB,0.0,29.0,26.0,0.0,0.34,0.74
,2025_01_BAL_BUF,BAL,LB,0.0,26.0,18.0,0.0,0.31,0.51
,2025_01_BAL_BUF,BAL,LB,0.0,26.0,11.0,0.0,0.31,0.31
,2025_01_BAL_BUF,BAL,DL,0.0,18.0,6.0,0.0,0.21,0.17
,2025_01_BAL_BUF,BAL,DL,0.0,12.0,2.0,0.0,0.14,0.06
,2025_01_BAL_BUF,BAL,S,0.0,3.0,27.0,0.0,0.04,0.77
,2025_01_BAL_BUF,BAL,LB,0.0,1.0,27.0,0.0,0.01,0.77
,2025_01_BAL_BUF,BAL,CB,0.0,1.0,20.0,0.0,0.01,0.57
,2025_01_BAL_BUF,BAL,CB,0.0,0.0,27.0,0.0,0.0,0.77
,2025_01_BAL_BUF,BAL,LB,0.0,0.0,21.0,0.0,0.0,0.6
